GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
25020,2025-26,Serie A,CARLOS MARSHALL JR.,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",33,11,4,6,1,7,0,0,4,1,5,5,0,3,0,4
25020,2025-26,Serie A,DESURE BUIE,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",29,20,3,7,2,4,8,8,1,1,2,6,1,3,0,2
25020,2025-26,Serie A,ALESSANDRO ZANELLI,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",20,5,0,0,1,2,2,3,0,1,1,3,0,0,0,4
25020,2025-26,Serie A,FADILOU SECK,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25020,2025-26,Serie A,LAURYNAS BELIAUSKAS,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",16,10,2,4,2,5,0,0,2,0,2,2,1,0,0,3
25020,2025-26,Serie A,NATE JOHNSON,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",30,13,1,1,2,7,5,5,5,0,5,7,0,3,0,1
25020,2025-26,Serie A,MARCO CERON,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25020,2025-26,Serie A,ENRICO CASU,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25020,2025-26,Serie A,LUCA VINCINI,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",16,11,3,4,0,0,5,6,2,3,5,0,0,1,0,3
25020,2025-26,Serie A,ANDREA MEZZANOTTE,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",13,3,0,1,1,1,0,0,1,0,1,1,0,0,0,1
25020,2025-26,Serie A,RASHAWN THOMAS,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",26,13,5,10,0,0,3,7,3,1,4,2,2,1,0,3
25020,2025-26,Serie A,NICK MCGLYNN,BANCO DI SARDEGNA SASSARI,"2025-10-05, SAS vs VAR",17,16,8,8,0,0,0,0,2,1,3,0,1,1,0,2
25020,2025-26,Serie A,DAVIDE ALVITI,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",34,26,2,2,5,8,7,8,3,0,3,4,3,2,1,2
25020,2025-26,Serie A,TAZE MOORE,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",31,11,3,5,1,1,2,4,4,1,5,5,2,1,0,4
25020,2025-26,Serie A,MAURO VILLA,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25020,2025-26,Serie A,ELISEE ASSUI,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",23,2,0,1,0,1,2,2,2,0,2,0,0,0,0,4
25020,2025-26,Serie A,OLIVIER NKAMHOUA,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",33,28,8,11,4,8,0,2,5,0,5,2,0,5,1,3
25020,2025-26,Serie A,MATTEO LIBRIZZI,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",23,14,1,4,3,6,3,4,1,0,1,2,0,2,0,3
25020,2025-26,Serie A,MAXIMILIAN LADURNER,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",7,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0
25020,2025-26,Serie A,STEFAN MOODY,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",16,6,2,2,0,3,2,2,0,2,2,5,2,4,0,5
25020,2025-26,Serie A,IVAN SANTINO PRATO,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25020,2025-26,Serie A,ALLERIK FREEMAN,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",23,16,2,3,3,4,3,4,4,1,5,0,0,1,0,1
25020,2025-26,Serie A,FRANCESCO TORNESE,OPENJOBMETIS VARESE,"2025-10-05, SAS vs VAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25014,2025-26,Serie A,MATTEO BAIOCCHI,VIRTUS OLIDATA BOLOGNA,"2025-10-06, BOL vs NAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25014,2025-26,Serie A,CARSEN EDWARDS,VIRTUS OLIDATA BOLOGNA,"2025-10-06, BOL vs NAP",22,13,1,2,3,7,2,2,2,0,2,4,1,1,0,0
